"No.","Time","Source","Destination","Protocol","Length","Info"
"183","3.802160","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0xf0f3 AAAA applet-bundles.grammarly.net"
"184","3.802615","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x07c5 A applet-bundles.grammarly.net"
"185","3.804964","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","193","Standard query response 0xf0f3 AAAA applet-bundles.grammarly.net SOA ns-1253.awsdns-28.org"
"186","3.804964","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","172","Standard query response 0x07c5 A applet-bundles.grammarly.net A 18.161.229.87 A 18.161.229.112 A 18.161.229.44 A 18.161.229.94"
"489","11.425267","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0xfbed AAAA applet-bundles.grammarly.net"
"490","11.425670","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0xc5a2 A applet-bundles.grammarly.net"
"491","11.426049","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x01b0 HTTPS applet-bundles.grammarly.net"
"492","11.428657","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","193","Standard query response 0xfbed AAAA applet-bundles.grammarly.net SOA ns-1253.awsdns-28.org"
"493","11.428657","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","172","Standard query response 0xc5a2 A applet-bundles.grammarly.net A 18.161.229.87 A 18.161.229.112 A 18.161.229.44 A 18.161.229.94"
"494","11.428657","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","193","Standard query response 0x01b0 HTTPS applet-bundles.grammarly.net SOA ns-1253.awsdns-28.org"
"495","11.431718","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x5188 AAAA applet-bundles.grammarly.net"
"496","11.432269","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0xb383 A applet-bundles.grammarly.net"
"497","11.433932","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","193","Standard query response 0x5188 AAAA applet-bundles.grammarly.net SOA ns-1253.awsdns-28.org"
"498","11.433932","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","172","Standard query response 0xb383 A applet-bundles.grammarly.net A 18.161.229.87 A 18.161.229.112 A 18.161.229.44 A 18.161.229.94"
"1490","16.187642","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x21e3 AAAA applet-bundles.grammarly.net"
"1491","16.187894","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x4b69 A applet-bundles.grammarly.net"
"1492","16.189343","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","193","Standard query response 0x21e3 AAAA applet-bundles.grammarly.net SOA ns-1253.awsdns-28.org"
"1493","16.189693","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","172","Standard query response 0x4b69 A applet-bundles.grammarly.net A 18.161.229.44 A 18.161.229.94 A 18.161.229.87 A 18.161.229.112"
"2855","42.537354","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","111","Standard query 0xf789 AAAA teams.events.data.microsoft.com"
"2856","42.537542","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","111","Standard query 0x2ad7 A teams.events.data.microsoft.com"
"2857","42.537775","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","111","Standard query 0xae5d HTTPS teams.events.data.microsoft.com"
"2858","42.541112","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","275","Standard query response 0xf789 AAAA teams.events.data.microsoft.com CNAME teams-events-data.trafficmanager.net CNAME onedscolprdeus02.eastus.cloudapp.azure.com SOA ns1-201.azure-dns.com"
"2859","42.542144","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","230","Standard query response 0x2ad7 A teams.events.data.microsoft.com CNAME teams-events-data.trafficmanager.net CNAME onedscolprdeus02.eastus.cloudapp.azure.com A 20.42.65.84"
"2860","42.542189","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","275","Standard query response 0xae5d HTTPS teams.events.data.microsoft.com CNAME teams-events-data.trafficmanager.net CNAME onedscolprdeus02.eastus.cloudapp.azure.com SOA ns1-201.azure-dns.com"
"3999","74.869445","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","116","Standard query 0xbed9 A win-extension.femetrics.grammarly.io"
"4000","74.869778","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","116","Standard query 0xbbb9 AAAA win-extension.femetrics.grammarly.io"
"4002","74.872350","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","244","Standard query response 0xbed9 A win-extension.femetrics.grammarly.io A 52.3.198.14 A 3.210.157.84 A 52.20.107.213 A 44.205.114.80 A 54.83.202.250 A 18.232.210.255 A 3.223.23.200 A 34.237.86.124"
"4003","74.872350","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","203","Standard query response 0xbbb9 AAAA win-extension.femetrics.grammarly.io SOA ns-1688.awsdns-19.co.uk"
"4216","81.173766","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","96","Standard query 0x6bb0 A in.grammarly.com"
"4217","81.174125","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","96","Standard query 0xb3b2 AAAA in.grammarly.com"
"4218","81.176553","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","192","Standard query response 0x6bb0 A in.grammarly.com A 54.152.194.244 A 34.195.39.242 A 23.22.191.96 A 52.203.239.42 A 52.5.83.208 A 54.147.138.158"
"4219","81.176553","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","178","Standard query response 0xb3b2 AAAA in.grammarly.com SOA ns-1214.awsdns-23.org"
"4229","81.555028","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","98","Standard query 0x05ee A gnar.grammarly.com"
"4230","81.555121","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","98","Standard query 0x82b1 AAAA gnar.grammarly.com"
"4231","81.559168","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","226","Standard query response 0x05ee A gnar.grammarly.com A 3.218.111.120 A 44.198.110.12 A 3.220.101.214 A 75.101.238.2 A 35.171.12.215 A 52.206.200.10 A 54.236.110.9 A 52.1.243.132"
"4232","81.559168","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","180","Standard query response 0x82b1 AAAA gnar.grammarly.com SOA ns-1139.awsdns-14.org"
"4322","83.105898","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","96","Standard query 0x62ae A www.msftncsi.com"
"4323","83.106176","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","96","Standard query 0x8f91 AAAA www.msftncsi.com"
"4324","83.121520","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","202","Standard query response 0x62ae A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 106.51.156.144 A 106.51.156.139"
"4325","83.121520","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","229","Standard query response 0x8f91 AAAA www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net SOA n0g2.akamai.net"
"4917","100.878226","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","103","Standard query 0x48ad A treatment.grammarly.com"
"4918","100.878680","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","103","Standard query 0x16af AAAA treatment.grammarly.com"
"4919","100.882600","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","296","Standard query response 0x48ad A treatment.grammarly.com CNAME public-treatment.prod-experimentation.grammarlyaws.com A 3.227.146.146 A 52.202.195.78 A 52.70.108.242 A 3.236.1.89 A 3.213.234.112 A 52.70.255.180 A 34.205.121.66 A 54.81.131.76"
"4920","100.882600","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","252","Standard query response 0x16af AAAA treatment.grammarly.com CNAME public-treatment.prod-experimentation.grammarlyaws.com SOA ns-2022.awsdns-60.co.uk"
"5016","102.368410","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","99","Standard query 0x10d2 A gates.grammarly.com"
"5017","102.368860","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","99","Standard query 0x4f2e AAAA gates.grammarly.com"
"5018","102.370446","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","227","Standard query response 0x10d2 A gates.grammarly.com A 3.213.234.112 A 34.205.121.66 A 3.236.1.89 A 52.70.255.180 A 54.81.131.76 A 44.198.145.57 A 3.226.68.171 A 44.205.118.162"
"5019","102.370657","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","177","Standard query response 0x4f2e AAAA gates.grammarly.com SOA ns-422.awsdns-52.com"
"6018","131.590519","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","111","Standard query 0x16d1 A fe3cr.delivery.mp.microsoft.com"
"6021","131.628565","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","111","Standard query 0x16d1 A fe3cr.delivery.mp.microsoft.com"
"6023","131.655575","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","199","Standard query response 0x16d1 A fe3cr.delivery.mp.microsoft.com CNAME fe3.delivery.mp.microsoft.com CNAME glb.cws.prod.dcat.dsp.trafficmanager.net A 40.69.42.241"
"6026","131.679469","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","111","Standard query 0xc531 A fe3cr.delivery.mp.microsoft.com"
"6027","131.679670","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","111","Standard query 0x5485 AAAA fe3cr.delivery.mp.microsoft.com"
"6028","131.686956","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","199","Standard query response 0x16d1 A fe3cr.delivery.mp.microsoft.com CNAME fe3.delivery.mp.microsoft.com CNAME glb.cws.prod.dcat.dsp.trafficmanager.net A 40.69.42.241"
"6029","131.686956","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","199","Standard query response 0xc531 A fe3cr.delivery.mp.microsoft.com CNAME fe3.delivery.mp.microsoft.com CNAME glb.cws.prod.dcat.dsp.trafficmanager.net A 40.69.42.241"
"6030","131.686956","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","211","Standard query response 0x5485 AAAA fe3cr.delivery.mp.microsoft.com CNAME fe3.delivery.mp.microsoft.com CNAME glb.cws.prod.dcat.dsp.trafficmanager.net AAAA 2603:1030:7::106"
"6084","132.974373","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","109","Standard query 0x5edc A v10.events.data.microsoft.com"
"6085","132.974462","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","109","Standard query 0x1bf8 AAAA v10.events.data.microsoft.com"
"6086","133.002182","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","109","Standard query 0x5edc A v10.events.data.microsoft.com"
"6087","133.002266","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","109","Standard query 0x1bf8 AAAA v10.events.data.microsoft.com"
"6088","133.031997","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","246","Standard query response 0x5edc A v10.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdeus19.eastus.cloudapp.azure.com A 52.168.117.175"
"6089","133.031997","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","291","Standard query response 0x1bf8 AAAA v10.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdeus19.eastus.cloudapp.azure.com SOA ns1-201.azure-dns.com"
"6095","133.081156","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","258","Standard query response 0x5edc A v10.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdgwc04.germanywestcentral.cloudapp.azure.com A 51.116.253.169"
"6096","133.081156","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","315","Standard query response 0x1bf8 AAAA v10.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdgwc04.germanywestcentral.cloudapp.azure.com SOA ns1-08.azure-dns.com"
"6112","133.313011","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","106","Standard query 0xf638 A slscr.update.microsoft.com"
"6116","133.347801","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","106","Standard query 0xf638 A slscr.update.microsoft.com"
"6117","133.372261","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","194","Standard query response 0xf638 A slscr.update.microsoft.com CNAME sls.update.microsoft.com CNAME glb.sls.prod.dcat.dsp.trafficmanager.net A 4.175.87.197"
"6118","133.392268","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","106","Standard query 0x8e93 A slscr.update.microsoft.com"
"6119","133.392522","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","106","Standard query 0xb546 AAAA slscr.update.microsoft.com"
"6125","133.422449","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","194","Standard query response 0xf638 A slscr.update.microsoft.com CNAME sls.update.microsoft.com CNAME glb.sls.prod.dcat.dsp.trafficmanager.net A 4.245.163.56"
"6126","133.426495","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","106","Standard query 0x8e93 A slscr.update.microsoft.com"
"6127","133.426567","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","106","Standard query 0xb546 AAAA slscr.update.microsoft.com"
"6128","133.430491","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","194","Standard query response 0x8e93 A slscr.update.microsoft.com CNAME sls.update.microsoft.com CNAME glb.sls.prod.dcat.dsp.trafficmanager.net A 4.175.87.197"
"6129","133.430491","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","206","Standard query response 0xb546 AAAA slscr.update.microsoft.com CNAME sls.update.microsoft.com CNAME glb.sls.prod.dcat.dsp.trafficmanager.net AAAA 2603:1030:408:3::86"
"6138","133.474622","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","194","Standard query response 0x8e93 A slscr.update.microsoft.com CNAME sls.update.microsoft.com CNAME glb.sls.prod.dcat.dsp.trafficmanager.net A 4.245.163.56"
"6139","133.487996","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","206","Standard query response 0xb546 AAAA slscr.update.microsoft.com CNAME sls.update.microsoft.com CNAME glb.sls.prod.dcat.dsp.trafficmanager.net AAAA 2603:1030:408:3::86"
"6320","136.361669","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","125","Standard query 0xc0de A onedriveclucprodbn20014.blob.core.windows.net"
"6321","136.362166","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","125","Standard query 0xf78b AAAA onedriveclucprodbn20014.blob.core.windows.net"
"6322","136.396171","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","125","Standard query 0xc0de A onedriveclucprodbn20014.blob.core.windows.net"
"6323","136.396251","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","125","Standard query 0xf78b AAAA onedriveclucprodbn20014.blob.core.windows.net"
"6324","136.409866","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","251","Standard query response 0xf78b AAAA onedriveclucprodbn20014.blob.core.windows.net CNAME blob.lvl08prdstr08c.store.core.windows.net SOA ns1-05.azure-dns.com"
"6325","136.409866","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","181","Standard query response 0xc0de A onedriveclucprodbn20014.blob.core.windows.net CNAME blob.lvl08prdstr08c.store.core.windows.net A 20.209.69.193"
"6342","136.471773","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","181","Standard query response 0xc0de A onedriveclucprodbn20014.blob.core.windows.net CNAME blob.lvl08prdstr08c.store.core.windows.net A 20.209.69.193"
"6343","136.471773","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","251","Standard query response 0xf78b AAAA onedriveclucprodbn20014.blob.core.windows.net CNAME blob.lvl08prdstr08c.store.core.windows.net SOA ns1-05.azure-dns.com"
"6345","136.572672","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","109","Standard query 0x9fed A v10.events.data.microsoft.com"
"6346","136.613994","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","109","Standard query 0x9fed A v10.events.data.microsoft.com"
"6347","136.638169","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","246","Standard query response 0x9fed A v10.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdeus01.eastus.cloudapp.azure.com A 52.168.112.66"
"6349","136.675196","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","258","Standard query response 0x9fed A v10.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdgwc04.germanywestcentral.cloudapp.azure.com A 51.116.253.169"
"16126","318.769737","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","104","Standard query 0x2b3c A ipv6.msftconnecttest.com"
"16127","318.770266","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","104","Standard query 0x0ab4 AAAA ipv6.msftconnecttest.com"
"16128","318.770576","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","103","Standard query 0xf645 A www.msftconnecttest.com"
"16129","318.771437","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","103","Standard query 0x72f7 AAAA www.msftconnecttest.com"
"16130","318.809652","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","104","Standard query 0x2b3c A ipv6.msftconnecttest.com"
"16131","318.809765","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","103","Standard query 0xf645 A www.msftconnecttest.com"
"16132","318.809824","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","104","Standard query 0x0ab4 AAAA ipv6.msftconnecttest.com"
"16133","318.809880","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","103","Standard query 0x72f7 AAAA www.msftconnecttest.com"
"16143","318.938902","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","100","Standard query 0xaf5d A activity.windows.com"
"16144","318.939078","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","107","Standard query 0xadcb A continuum.dds.microsoft.com"
"16145","318.939347","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","100","Standard query 0x0341 AAAA activity.windows.com"
"16146","318.939472","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","107","Standard query 0xb658 AAAA continuum.dds.microsoft.com"
"16147","318.968345","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","100","Standard query 0xaf5d A activity.windows.com"
"16148","318.968355","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","107","Standard query 0xadcb A continuum.dds.microsoft.com"
"16149","318.968358","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","100","Standard query 0x0341 AAAA activity.windows.com"
"16150","318.968419","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:38:1::2","DNS","107","Standard query 0xb658 AAAA continuum.dds.microsoft.com"
"16151","319.024223","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","110","Standard query 0xa852 AAAA go.trouter.teams.microsoft.com"
"16152","319.024659","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","110","Standard query 0x6651 A go.trouter.teams.microsoft.com"
"16153","319.025097","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","110","Standard query 0x6ca6 HTTPS go.trouter.teams.microsoft.com"
"16154","319.025698","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","99","Standard query 0x33b9 AAAA teams.microsoft.com"
"16155","319.026088","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","99","Standard query 0xb963 A teams.microsoft.com"
"16156","319.026437","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","99","Standard query 0x8563 HTTPS teams.microsoft.com"
"16157","319.035632","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","145","Standard query 0xc584 AAAA prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com"
"16158","319.035935","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","145","Standard query 0xfede A prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com"
"16159","319.036181","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","145","Standard query 0xcd49 HTTPS prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com"
"16160","319.047296","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","289","Standard query response 0x2b3c A ipv6.msftconnecttest.com CNAME ncsiv6-geo.trafficmanager.net CNAME ipv6.msftconnecttest.com.edgesuite.net CNAME a1968.i6g1.akamai.net SOA n0i6g1.akamai.net"
"16161","319.047296","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","274","Standard query response 0x72f7 AAAA www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net SOA n0g2.akamai.net"
"16162","319.047296","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","284","Standard query response 0x0ab4 AAAA ipv6.msftconnecttest.com CNAME ncsiv6-geo.trafficmanager.net CNAME ipv6.msftconnecttest.com.edgesuite.net CNAME a1968.i6g1.akamai.net AAAA 2406:7400:38:3::31cd:a392 AAAA 2406:7400:38:3::31cd:a391"
"16164","319.050928","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","247","Standard query response 0xf645 A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 49.205.163.145 A 49.205.163.144"
"16165","319.050928","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","166","Standard query response 0xaf5d A activity.windows.com CNAME activity-consumer.trafficmanager.net A 13.68.233.9"
"16166","319.050928","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","166","Standard query response 0xadcb A continuum.dds.microsoft.com CNAME cs-geo-dds.trafficmanager.net A 13.66.14.65"
"16167","319.050928","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","208","Standard query response 0x0341 AAAA activity.windows.com CNAME activity-consumer.trafficmanager.net SOA tm1.dns-tm.com"
"16168","319.050928","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","208","Standard query response 0xb658 AAAA continuum.dds.microsoft.com CNAME cs-geo-dds.trafficmanager.net SOA tm1.dns-tm.com"
"16169","319.050928","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","208","Standard query response 0x0341 AAAA activity.windows.com CNAME activity-consumer.trafficmanager.net SOA tm1.dns-tm.com"
"16170","319.050928","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","166","Standard query response 0xaf5d A activity.windows.com CNAME activity-consumer.trafficmanager.net A 20.198.2.181"
"16171","319.050928","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","208","Standard query response 0xb658 AAAA continuum.dds.microsoft.com CNAME cs-geo-dds.trafficmanager.net SOA tm1.dns-tm.com"
"16172","319.050928","2406:7400:38:1::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","166","Standard query response 0xadcb A continuum.dds.microsoft.com CNAME cs-geo-dds.trafficmanager.net A 13.66.14.65"
"16173","319.050928","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","536","Standard query response 0xa852 AAAA go.trouter.teams.microsoft.com CNAME trouter-atm-pub-ent.trafficmanager.net CNAME pub-ent-ince-09-t.trouter.teams.microsoft.com CNAME partition-cname-trouter.pub-ent-ince-09.ic3-edf-trouter.centralindia-prod.cosmic.office.net CNAME cosmic-centralindia-ns-a2ecfd67ce07.trafficmanager.net CNAME partition-cname-trouter-ic3-edf-trouter-service-trouter-1.d02-033.ic3-edf-trouter.01-centralindia-prod.cosmic.office.net SOA ns1-32.azure-dns.com"
"16177","319.056413","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","479","Standard query response 0x6651 A go.trouter.teams.microsoft.com CNAME trouter-atm-pub-ent.trafficmanager.net CNAME pub-ent-ince-09-t.trouter.teams.microsoft.com CNAME partition-cname-trouter.pub-ent-ince-09.ic3-edf-trouter.centralindia-prod.cosmic.office.net CNAME cosmic-centralindia-ns-a2ecfd67ce07.trafficmanager.net CNAME partition-cname-trouter-ic3-edf-trouter-service-trouter-1.d02-033.ic3-edf-trouter.01-centralindia-prod.cosmic.office.net A 52.123.164.131"
